参考市场数量k,结构价格弹性系数alpha,GDP对数敏感系数gamma1,人口对数敏感系数gamma2,层级溢价强度eta,平均相对误差,中位相对误差,最大相对误差
3,0.4,0.2,0.2,0.15,0.6018943488298611,0.6355594603527135,1.2062779738146838
3,0.9,0.05,0.15,0.25,0.6019297234653197,0.6851716810203289,1.149555536177641
4,1.2,0.25,0.05,0.25,0.6019333576241187,0.7353979726355908,0.9878425531521225
2,0.6,0.3,0.15,0.2,0.6020244014239817,0.43161617865567464,1.551504158093742
4,0.7,0.2,0.15,0.2,0.6020348406558369,0.7437979404166085,1.0887115723833398
2,0.9,0.1,0.1,0.15,0.6021605821757517,0.5782781538677211,1.1475263871014802
4,1.4,0.15,0.05,0.3,0.6022037513303699,0.7030630489266492,1.1854719807357161
3,1.1,0.25,0.1,0.2,0.6022110717943515,0.6848317618440524,1.184944342537507
3,0.4,0.25,0.2,0.15,0.6022281594601835,0.537159575301666,1.2975810325021158
4,0.5,0.15,0.25,0.25,0.6022299240969651,0.630215313488419,1.0573246465060353
2,1.0,0.05,0.15,0.25,0.6022707416743245,0.5802210990820064,1.2730600630589313
2,0.4,0.2,0.25,0.25,0.6023105703030777,0.5813314940446839,1.4552900418174743
4,0.8,0.05,0.25,0.3,0.6023391225179083,0.7811027920762127,1.2534887790789084
3,0.9,0.25,0.1,0.15,0.6023687635828576,0.728949566182664,1.0956452984408511
3,0.4,0.3,0.2,0.15,0.6025619700905056,0.43875969025061845,1.3888840911895477
3,1.4,0.1,0.1,0.3,0.6025977596167792,0.6883168267693794,1.4446215141278553
2,0.9,0.15,0.1,0.15,0.6026046623724574,0.5877235510501723,1.116000356519841
4,1.3,0.15,0.05,0.25,0.6026638748277373,0.6924552433270881,1.1724590826752745
3,0.5,0.1,0.15,0.15,0.6028116508467276,0.6639464907067674,0.9964525805408767
3,0.8,0.05,0.05,0.15,0.6029664287077292,0.6280566213778634,1.2175181627774603
4,1.0,0.05,0.2,0.3,0.6030225299683426,0.7313390264767098,1.3411969677148798
2,0.8,0.2,0.15,0.2,0.6030425194725462,0.5352791182390777,1.2825004603369734
2,0.9,0.2,0.1,0.15,0.6030487425691632,0.5391436556307148,1.1947908005850365
4,1.1,0.05,0.1,0.2,0.6031222302348854,0.6577736632139078,1.3176306892292478
3,1.0,0.1,0.15,0.25,0.6031475891205146,0.7285910056984213,1.2430581952730209
4,0.7,0.1,0.15,0.15,0.6032298806246508,0.694084442165655,1.0960218753101307
2,1.4,0.15,0.1,0.3,0.6032437660516281,0.39608832616398965,1.4097063006212651
3,0.9,0.2,0.1,0.15,0.6033034843962825,0.7266827340352883,1.084474325938202
3,1.3,0.05,0.05,0.25,0.6033713113445942,0.5882114561053169,1.2422617679446162
4,0.8,0.3,0.2,0.3,0.6034292201505289,0.5426210042629992,1.2523969428543216
4,1.2,0.15,0.05,0.2,0.6034303035585814,0.6802252397478603,1.159535513881587
2,0.9,0.15,0.2,0.3,0.603468434510661,0.5070321707573668,1.2448783908230021
3,1.1,0.05,0.1,0.25,0.603488661624109,0.6575574946764067,1.2045985067207308
2,0.9,0.25,0.1,0.15,0.6034928227658687,0.4905637602112565,1.3136545205842036
3,1.2,0.3,0.05,0.15,0.6036896096271599,0.6507721917017082,1.1602300355148283
3,1.4,0.1,0.05,0.25,0.6037304082084676,0.6536959992503732,1.3342288800703936
3,1.3,0.25,0.1,0.25,0.603732526698193,0.6425507261226789,1.3254736426231826
4,0.9,0.25,0.1,0.2,0.603735650264272,0.7585362033568864,1.0983124480664608
2,0.7,0.05,0.25,0.3,0.603782725322662,0.573918916192353,1.130933515314948
2,0.5,0.1,0.25,0.25,0.6039972529758909,0.5784662241081693,1.1929047875298182
3,1.3,0.3,0.1,0.25,0.6040591534394625,0.5858289813926608,1.290572299988511
4,0.9,0.05,0.15,0.2,0.6040614003162927,0.6854868919613127,1.2597656052386208
4,0.8,0.15,0.15,0.2,0.604079074901567,0.7418529927698969,1.0799699145009294
3,1.1,0.2,0.1,0.2,0.6041250537453062,0.7428705902620728,1.218115929210442
2,1.0,0.1,0.15,0.25,0.6042587309200158,0.561043482862652,1.2430581952730209
4,0.8,0.1,0.2,0.25,0.6043311711675599,0.7694127691882017,1.1737781021014357
3,1.2,0.1,0.1,0.25,0.604350519184847,0.6994780483299597,1.2980111285728086
4,1.1,0.25,0.05,0.2,0.6044667545814879,0.7255487978706288,1.0112838094794818
4,1.1,0.15,0.05,0.15,0.6045586843531167,0.66608797116484,1.1467006293770017
3,0.6,0.05,0.1,0.15,0.6045720861962265,0.618630006547795,1.1128848508195617
4,1.0,0.3,0.1,0.25,0.6046059493163826,0.7131382143958918,1.1590490674012544
3,0.8,0.05,0.25,0.3,0.6049654067958694,0.7884165453861639,1.2534887790789084
2,0.4,0.05,0.2,0.15,0.6050032004437447,0.5325607302434029,0.9927225804414391
4,0.6,0.1,0.25,0.25,0.6050566343095825,0.710848709422239,1.0938508224406602
2,1.4,0.2,0.1,0.3,0.6051459472123185,0.37743598403665124,1.3747910871146742
3,0.4,0.05,0.15,0.15,0.6052508640012791,0.6100815597621903,1.0097294618705712
2,1.0,0.3,0.1,0.2,0.6052746177353701,0.397524806665701,1.4421573946581228
4,1.2,0.2,0.1,0.3,0.6055404704558107,0.7535857156692041,1.1228015926238988
4,0.9,0.15,0.1,0.15,0.6055691255464495,0.6927831059720582,1.116000356519841
2,1.1,0.05,0.1,0.2,0.6056378898526593,0.574042499375725,1.3176306892292478
2,0.8,0.25,0.15,0.2,0.6056551021521661,0.4893089258286877,1.40328450773599
2,0.6,0.25,0.2,0.25,0.6058601995010003,0.47804683928345637,1.5043584022889207
2,1.3,0.3,0.1,0.3,0.6059488167883269,0.4349050281935343,1.4508551503635545
3,0.6,0.1,0.2,0.2,0.6060119719233855,0.7541968707827331,1.0432829734271427
3,1.3,0.15,0.05,0.2,0.6060753019654616,0.693593260341313,1.2838434416760884
4,0.7,0.3,0.1,0.15,0.6060897810361093,0.6880702144565353,1.2720588961728907
3,0.5,0.05,0.2,0.2,0.6061136594365293,0.7025545999516478,0.9566138802279345
2,0.4,0.3,0.2,0.25,0.6061408760022213,0.4232501667282215,1.6601998977710593
4,0.5,0.05,0.2,0.15,0.6061829381379484,0.7026879698053538,1.1099938262355222
4,0.5,0.2,0.25,0.25,0.6062329979833485,0.565278465813721,1.1511525133403855
2,1.0,0.15,0.15,0.25,0.6062467201657069,0.5168557849253207,1.2130563274871093
4,0.7,0.05,0.2,0.2,0.6063104274671196,0.7257055681528698,1.1879764871594938
2,0.4,0.1,0.2,0.15,0.6063966005992686,0.539013838802632,1.1158086686630972
2,0.9,0.2,0.2,0.3,0.6064528080869441,0.46521906727594453,1.367389662035841
2,1.2,0.3,0.05,0.15,0.6065305923220481,0.39021087491572926,1.3391660862315675
3,1.3,0.2,0.1,0.25,0.606559460986126,0.6992724708526964,1.3603749852578526
3,1.1,0.3,0.15,0.25,0.606587098837866,0.5983462469437079,1.245905433555102
4,0.9,0.2,0.15,0.25,0.6065929441316574,0.7583401394342449,1.0639777398404011
2,1.1,0.1,0.1,0.2,0.6065950783420335,0.5698668674884612,1.2844591025563132
2,0.6,0.05,0.2,0.2,0.6066139499683926,0.5328189515355181,1.0690579542362868
2,1.2,0.25,0.05,0.15,0.6066461220514577,0.4268448360850331,1.2220392180668498
3,0.9,0.3,0.15,0.2,0.6066583971612499,0.5782465212884065,1.1988760508397387
2,1.1,0.25,0.15,0.3,0.6066661059502719,0.4064448341156559,1.4115572317541474
2,0.4,0.25,0.25,0.3,0.6067229909418139,0.4634642702670202,1.606215243658617
2,1.2,0.2,0.05,0.15,0.6067616517808667,0.47619691809201004,1.2335815233991132
4,0.4,0.15,0.2,0.15,0.6068097734939522,0.7221652468513743,1.114974915127252
4,1.0,0.25,0.15,0.3,0.6068737710203546,0.6983824104189267,1.0884773925073217
2,1.2,0.15,0.05,0.15,0.6068771815102761,0.525549000098987,1.2702572673412567
2,0.8,0.3,0.15,0.25,0.6069437102572987,0.4063014933413589,1.5469709625985104
3,1.2,0.25,0.05,0.15,0.6069691819696393,0.7126143225844921,1.1969057794569713
2,1.2,0.1,0.05,0.15,0.6069927112396852,0.5749010821059639,1.3069330112833986
4,0.9,0.15,0.2,0.3,0.606997687339115,0.7386100938199951,1.1596437422997208
2,0.5,0.15,0.25,0.25,0.607046015546952,0.6170495811888215,1.3179179353587391
2,1.4,0.25,0.1,0.3,0.6070481283730091,0.41211396575109666,1.3398758736080851
2,1.2,0.05,0.05,0.15,0.6071082409690947,0.5676931346127263,1.3436087552255416
4,0.5,0.2,0.2,0.2,0.6071353477118672,0.6449331597031032,1.1624065955621343
2,0.7,0.1,0.25,0.3,0.6072126797257515,0.6055513874865754,1.1928001288691255
3,1.2,0.1,0.05,0.2,0.6072347201250362,0.6516667067414356,1.194422560684807
4,1.3,0.1,0.1,0.3,0.607319473294096,0.7096776507117011,1.3116565069700699
3,1.1,0.15,0.1,0.2,0.6074877056919079,0.7176691311721267,1.2512875158833778
4,1.0,0.25,0.05,0.15,0.6075343882007684,0.7141868498656804,1.0457306593898954
2,1.1,0.15,0.1,0.2,0.6075522668314076,0.523168782772953,1.2512875158833778
3,0.8,0.1,0.15,0.2,0.6075610890803067,0.706750516749945,1.108482785213904
4,1.4,0.05,0.05,0.25,0.6076441538903329,0.5702377381223244,1.3709342348536695
2,1.2,0.05,0.15,0.3,0.6076741137351586,0.5401512910229103,1.4178430681195233
4,0.7,0.15,0.25,0.3,0.6077148003145888,0.6450682835069024,1.0818740581673814
4,1.1,0.2,0.1,0.25,0.6077287710316646,0.7458364281184332,1.1099371388187147
2,0.6,0.2,0.25,0.3,0.6077788846548997,0.5165434019200957,1.4526073850369883
2,0.4,0.15,0.2,0.15,0.6077900007547926,0.5767802323322003,1.2388947568847566
4,1.2,0.1,0.1,0.25,0.6078134626923509,0.6994780483299597,1.2980111285728086
3,0.7,0.05,0.15,0.2,0.6079005917052578,0.6565238287940631,1.020907224840198
4,0.5,0.05,0.25,0.2,0.6079881996496902,0.7778252246000111,1.1058898921184954
3,1.0,0.1,0.1,0.2,0.6081756399175285,0.6739577879123001,1.1602417905950362
2,1.0,0.2,0.15,0.25,0.6082347094113982,0.47266808698798934,1.2814119605678773
4,1.1,0.15,0.15,0.3,0.6083634492773693,0.7661342170339287,1.2264160115555318
3,1.1,0.05,0.05,0.2,0.6083934950438613,0.6057578619541909,1.2042769140776348
2,1.1,0.2,0.1,0.2,0.6085094553207816,0.47647069805744513,1.218115929210442
2,0.6,0.1,0.2,0.2,0.6085601278068227,0.5722487909223389,1.1141610805521611
4,1.1,0.1,0.1,0.2,0.6085991943240247,0.6877213971930172,1.2844591025563132
3,0.7,0.3,0.15,0.15,0.6086330605685375,0.5617680410571999,1.2686497229923759
2,0.6,0.3,0.2,0.3,0.6086501895148265,0.41665519174639054,1.653571321718159
3,0.9,0.25,0.15,0.2,0.6086604384813563,0.6682455901297961,1.1398116535307632
4,0.9,0.3,0.1,0.2,0.608701082569933,0.7090866127418558,1.1896027540641019
3,0.6,0.05,0.25,0.25,0.6087941437631696,0.7830416042749232,1.1183687426022593
3,0.9,0.05,0.1,0.2,0.6088566797359805,0.6257333082091521,1.101603670371594
4,0.5,0.1,0.2,0.15,0.608895600615069,0.7459878493669388,1.0692741091411433
4,0.5,0.25,0.25,0.25,0.6089231875910649,0.5003416181390228,1.2449803801747366
4,0.5,0.25,0.15,0.15,0.6090763506523033,0.6583219641853463,1.2696697743914873
4,0.9,0.1,0.15,0.2,0.609162017582871,0.7186876157482465,1.2297771173116567
2,0.4,0.2,0.2,0.15,0.6091834009103164,0.6145466258617684,1.361980845106415
3,1.1,0.25,0.15,0.25,0.609183951487289,0.6747364535948988,1.2774592228557746
4,1.3,0.3,0.05,0.3,0.6092091120314469,0.6718908993858838,1.0519275922754845
2,0.5,0.3,0.15,0.15,0.6092327702095583,0.4989346852707619,1.5418209517360353
4,0.5,0.25,0.2,0.2,0.6093632186354768,0.5754587765070756,1.2548338177652705
3,1.3,0.15,0.1,0.25,0.6093863952740592,0.737858821461552,1.3952763278925233
4,1.2,0.05,0.15,0.3,0.6094417262579201,0.6665234180230575,1.4178430681195233
2,1.1,0.25,0.1,0.2,0.6094666438101558,0.4297726133419373,1.3125108130400107
3,0.9,0.2,0.15,0.2,0.6094974848907193,0.7582446589711858,1.1698001414577277
3,0.9,0.3,0.2,0.25,0.6095911328788552,0.493838121281691,1.215080594195724
4,1.0,0.3,0.15,0.3,0.6096269913878137,0.6398603506087802,1.1816397458301258
2,0.8,0.05,0.2,0.25,0.6097400393126323,0.5676043274272792,1.2009003837006011
3,0.9,0.15,0.15,0.2,0.6098725859197961,0.75188833953518,1.1997886293846922
4,0.7,0.05,0.15,0.15,0.6099120518361931,0.6559851868721054,1.1245213539319827
3,0.7,0.2,0.15,0.15,0.6099770685829132,0.7560002677431525,1.0873897519907607
4,0.7,0.25,0.15,0.2,0.609987631650023,0.6750846332491556,1.1805398666469282
2,1.2,0.1,0.15,0.3,0.6100078002029561,0.4976735603863215,1.3862759627671986
3,0.7,0.25,0.15,0.15,0.6100722592071283,0.6588841544001764,1.1780197374915686
4,1.1,0.05,0.15,0.25,0.6100907446247924,0.6871517089609114,1.4036743800584617
3,0.7,0.3,0.2,0.2,0.6101141974659485,0.47174121028809796,1.270278521986168
3,1.1,0.15,0.05,0.15,0.6101305690259016,0.66608797116484,1.1467006293770017
3,1.2,0.2,0.05,0.15,0.6102487543121188,0.7098944146426461,1.2335815233991132
3,1.0,0.05,0.2,0.3,0.6103225841554935,0.7313390264767098,1.3411969677148798
4,1.0,0.2,0.1,0.2,0.6103654206170481,0.736936104046897,1.0971615977137896
4,0.7,0.2,0.2,0.25,0.6103738894269732,0.6607103297122248,1.09063814238376
4,0.7,0.05,0.25,0.25,0.6104791270680173,0.7891842481725609,1.2401888129495604
2,0.6,0.15,0.2,0.2,0.610506305645253,0.6116786303091591,1.2366899712964643
3,0.5,0.15,0.25,0.2,0.6105615037147579,0.6428660086475303,1.0568782263380696
4,0.9,0.05,0.2,0.25,0.6106029325632831,0.7443385095034191,1.327422908973873
3,1.1,0.3,0.2,0.3,0.6106263960598314,0.5193797624364448,1.325738161470675
2,0.7,0.15,0.25,0.3,0.6106426341288412,0.5641714278464811,1.3171854859532606
4,0.6,0.15,0.2,0.2,0.6106507041660743,0.7304796519190562,1.0303753336438557
3,0.7,0.3,0.25,0.25,0.6108034821649669,0.43525837982842314,1.275843018108777
4,0.5,0.3,0.15,0.15,0.610810618759137,0.5840774010469673,1.3607421723416901
3,1.1,0.2,0.15,0.25,0.6108962742622155,0.7299446949496686,1.3090130121564456
3,0.5,0.2,0.25,0.2,0.610924434587095,0.550990879923611,1.1466559672020964
3,0.7,0.25,0.2,0.2,0.610925727195601,0.5627224891249192,1.1784502277225797
3,0.9,0.25,0.2,0.25,0.6109935024966854,0.5779853110758411,1.2133191805242205
3,0.7,0.25,0.25,0.25,0.6110280852067121,0.47652283963780845,1.1827740469782861
4,0.7,0.2,0.25,0.3,0.611089570000856,0.5852333943383257,1.096102684216851
2,1.3,0.05,0.1,0.25,0.6112046101279015,0.5511363839460007,1.4650790131618654
3,0.7,0.2,0.25,0.25,0.6112526882484572,0.5616684833779308,1.162826628994857
4,0.7,0.3,0.15,0.2,0.61128301202228,0.6063713260817026,1.2723681609105162
3,0.5,0.25,0.25,0.2,0.611287365459432,0.4591157511996922,1.2390831894052325
2,0.8,0.25,0.2,0.3,0.6113011493321048,0.4175405240388828,1.501370287168073
3,1.3,0.25,0.15,0.3,0.6113693692189428,0.6323149200630083,1.4240092747008666
3,0.7,0.15,0.25,0.25,0.6114772912902023,0.6468141271180539,1.1886140236464249
3,0.9,0.3,0.25,0.3,0.6114797535623964,0.4661241433888015,1.2474323030022239
2,0.7,0.05,0.15,0.15,0.6114929930677765,0.5270910076675484,1.1245213539319827
4,0.5,0.3,0.2,0.2,0.6115910895590866,0.5059843933110489,1.3472610399684066
4,0.5,0.3,0.25,0.25,0.6116133771987811,0.47114678055202547,1.338808247009087
3,1.3,0.3,0.15,0.3,0.6116387407888992,0.5783595274667964,1.3908100906321863
3,0.5,0.3,0.25,0.2,0.611650296331769,0.40234838768441183,1.331510411608369
3,0.7,0.1,0.25,0.25,0.6117018943319477,0.7319597708581765,1.214401418297993
3,0.7,0.2,0.2,0.2,0.6117372569252533,0.6537037679617396,1.1066478592153886
2,0.9,0.3,0.1,0.15,0.6118070196731131,0.4419838647917991,1.4325182405833705
4,1.4,0.2,0.05,0.3,0.6118850490228643,0.72852823583371,1.150556767229126
4,1.0,0.15,0.15,0.25,0.6118914954795254,0.7594936075997896,1.2130563274871093
4,0.9,0.05,0.1,0.15,0.6119181599129668,0.624983849845598,1.1790524176831199
4,1.2,0.3,0.05,0.25,0.6119277409735777,0.7196290348374902,1.074447495379533
3,0.9,0.15,0.1,0.15,0.6120010599579977,0.6927831059720582,1.116000356519841
4,0.7,0.25,0.2,0.25,0.6121370350306377,0.5965471886540942,1.183707113514251
2,0.8,0.1,0.2,0.25,0.6121434666181299,0.6088193599691819,1.1737781021014357
3,1.1,0.15,0.15,0.25,0.6122578620378044,0.7680345334683664,1.3405668014571182
2,0.7,0.1,0.15,0.15,0.612310256802626,0.5659847700341162,1.0960218753101307
2,1.0,0.3,0.15,0.3,0.6123105367343995,0.4313615455715974,1.544052915135488
3,0.9,0.25,0.25,0.3,0.6123243150808714,0.4972275722127306,1.2745670089888606
2,1.2,0.15,0.15,0.3,0.6123414866707537,0.4551958297497327,1.3547088574148736
3,0.9,0.2,0.2,0.25,0.6123958721145156,0.6621325008699912,1.241845112636634
2,0.6,0.2,0.2,0.2,0.6124524834836831,0.5993237331021535,1.3592188620407677
3,0.7,0.15,0.15,0.15,0.6124726820087927,0.7321836974592045,1.0675223966882785
3,0.7,0.15,0.2,0.2,0.6125487866549056,0.7446850467985604,1.1337574018634238
2,1.3,0.1,0.1,0.25,0.6125753051022083,0.5062436108017708,1.4301776705271947
3,0.5,0.3,0.2,0.15,0.6125762799589626,0.4529463856616865,1.3432276916660029
2,1.4,0.05,0.05,0.2,0.6126380230049152,0.5586302845832574,1.4924946325100668
3,1.4,0.3,0.05,0.2,0.6126473678999464,0.6099889304223656,1.2995582396806393
3,1.1,0.25,0.2,0.3,0.6126520498650816,0.5968525088495694,1.3557530543079692
4,0.4,0.15,0.25,0.2,0.6126597841327516,0.6333979828841652,1.0904057321049294
3,0.5,0.25,0.2,0.15,0.6128291980979985,0.5509393194987245,1.2521552937157991
3,1.0,0.1,0.05,0.15,0.6129478680956838,0.6178540461611166,1.1501643208754815
2,1.4,0.1,0.05,0.2,0.6130019127771801,0.5111842111891591,1.453907353944182
4,1.3,0.2,0.05,0.25,0.6130298899986618,0.7193491229504133,1.1375577400406038
2,1.2,0.3,0.1,0.25,0.6130587608392282,0.42273645471510063,1.4409979719538322
4,0.6,0.2,0.15,0.15,0.6130757185022742,0.7490126722106908,1.1305866271372251
3,0.5,0.2,0.2,0.15,0.6130821162370346,0.6489322533357628,1.1610828957655963
2,0.7,0.15,0.15,0.15,0.6131275205374757,0.6062915212199932,1.1531553359689126
2,0.5,0.25,0.2,0.2,0.6131326250469016,0.547512524292883,1.4946836372243013
3,0.9,0.2,0.25,0.3,0.6131688765993464,0.5758082824685273,1.3017017149754977
4,0.9,0.25,0.15,0.25,0.6131819037917692,0.6950215376796994,1.112581176610836
4,0.7,0.1,0.2,0.2,0.613216144815264,0.7629224071947306,1.160866944511459
3,0.5,0.1,0.25,0.2,0.6132303417577227,0.7347411373714496,1.0813840592282828
4,0.7,0.25,0.25,0.3,0.6132882372135011,0.525398505169749,1.1904578026567743
3,1.4,0.25,0.05,0.2,0.6132956565953223,0.6704397731663818,1.338145518246525
4,0.8,0.1,0.25,0.3,0.6132981769761924,0.721687067925138,1.2276892667621875
3,0.5,0.15,0.2,0.15,0.6133350343760706,0.746925187172801,1.0700104978153928
2,1.4,0.15,0.05,0.2,0.613365802549445,0.4637381377950613,1.415320075378296
3,0.8,0.05,0.2,0.25,0.6134363204670288,0.7350519046295025,1.2009003837006011
2,1.0,0.25,0.15,0.25,0.6135776095410624,0.4284803890506587,1.4018867648005184
4,0.7,0.15,0.15,0.15,0.6136897438327326,0.7321836974592045,1.0675223966882785
3,1.0,0.3,0.1,0.15,0.6137049724899521,0.6896560199941544,1.1491807828425493
2,1.4,0.2,0.05,0.2,0.6137296923217097,0.4162920644009631,1.3767327968124097
3,0.9,0.15,0.2,0.25,0.6137982417323459,0.746279690664141,1.2703710447490475
3,1.2,0.3,0.1,0.2,0.6138101097506923,0.6467515807138711,1.2762844914061617
4,1.0,0.1,0.2,0.3,0.6138218980260403,0.7820576594574387,1.3126583082869407
3,1.3,0.2,0.15,0.3,0.6138257319435793,0.6862703126592193,1.4572084587695466
2,0.4,0.05,0.25,0.2,0.6138454716142231,0.524071761038028,1.0595541437835876
4,0.7,0.3,0.2,0.25,0.6139001806343019,0.5323840475959637,1.2767760846447411
3,1.4,0.2,0.05,0.2,0.6139439452906978,0.7308906159103975,1.3767327968124097
2,0.7,0.2,0.15,0.15,0.6139447842723251,0.6073050497775564,1.2734920381929404
2,1.3,0.15,0.1,0.25,0.6139460000765149,0.4613508376575419,1.3952763278925233
4,0.9,0.3,0.15,0.25,0.6140063659367774,0.631702935925154,1.2049721407562586
3,0.9,0.15,0.25,0.3,0.6140134381178212,0.6543889927243236,1.3288364209621344
2,1.4,0.25,0.05,0.2,0.6140935820939745,0.3808444518301792,1.338145518246525
3,0.4,0.1,0.2,0.15,0.6141360616707177,0.7356663709057597,1.02367185643982
2,1.0,0.05,0.2,0.3,0.614359867929405,0.5974532769112277,1.3411969677148798
3,1.2,0.05,0.15,0.3,0.614364072219009,0.6665234180230575,1.4178430681195233
3,0.8,0.1,0.1,0.15,0.6143830128355328,0.6421979472623823,1.0426252842441777
2,0.7,0.3,0.15,0.2,0.6144068269157886,0.4374520015262445,1.5371174720436651
4,0.5,0.1,0.25,0.2,0.6144088036957038,0.7184191098280381,1.0813840592282828
2,1.4,0.3,0.05,0.2,0.6144574718662396,0.41552243354462437,1.3395744368466984
4,1.3,0.05,0.05,0.2,0.6145325943107866,0.596192238738783,1.3572249871491797
4,1.2,0.2,0.05,0.2,0.6145370825285864,0.708783772754285,1.124648467078367
2,0.8,0.15,0.2,0.25,0.6145468939236276,0.5776757802052453,1.2358273942928917
3,0.6,0.1,0.15,0.15,0.6145667814188202,0.6796892594552675,0.9820256276122341
4,1.0,0.1,0.1,0.15,0.6146736649409298,0.6741340828348507,1.2709997556361492
2,1.2,0.2,0.15,0.3,0.6146751731385512,0.41271809911314417,1.323141752062549
3,1.1,0.2,0.2,0.3,0.6146777036703317,0.6743252552626944,1.3857679471452642
4,0.8,0.25,0.1,0.15,0.6147597830698149,0.7498615990276895,1.1362738620953896
2,0.7,0.25,0.15,0.15,0.6147620480071748,0.5592283957049806,1.3938287404169676
2,0.9,0.05,0.15,0.2,0.614763751689535,0.5611914250562058,1.2597656052386208
3,0.9,0.1,0.25,0.3,0.6148579996362962,0.7329697029801202,1.3559711269487722
2,0.5,0.2,0.25,0.25,0.6151049204563719,0.5877867053565929,1.44293108318766
4,1.1,0.3,0.05,0.2,0.6151530242041081,0.7554965318497381,1.1021081952591338
3,0.4,0.05,0.25,0.2,0.6151904761515905,0.7706970450501345,0.9913953227399029
2,1.3,0.2,0.1,0.25,0.6153166950508218,0.416458064513312,1.3603749852578526
3,0.9,0.1,0.2,0.25,0.6153963927926617,0.776879600221302,1.29889697686146
3,1.0,0.25,0.1,0.15,0.6154334462492687,0.7498600823967513,1.17152818034133
4,0.7,0.3,0.25,0.3,0.6154869044261461,0.5036831284712577,1.284812921096697
4,0.9,0.2,0.2,0.3,0.6155089598288118,0.6796317919855025,1.1325090363130839
4,1.1,0.05,0.05,0.15,0.6155607132414579,0.6249743722641392,1.2164452899573794
3,0.9,0.05,0.05,0.15,0.6157254613035057,0.6220189723946672,1.231365065838247
2,0.9,0.1,0.15,0.2,0.6161124694195372,0.6033470788344673,1.2297771173116567
3,1.3,0.15,0.15,0.3,0.616113032176519,0.7402257052554306,1.490407642838227
2,0.6,0.05,0.25,0.25,0.616176700952109,0.55649098133812,1.1183687426022593
2,0.4,0.1,0.25,0.2,0.6162062702278771,0.5618381545675964,1.184140182673957
4,1.1,0.2,0.05,0.15,0.6164716790212398,0.6965887216830776,1.1118282990868125
3,1.2,0.25,0.1,0.2,0.616476745040416,0.7055776352833996,1.311171538209382
3,0.5,0.05,0.15,0.15,0.6165668958660332,0.6206466111451823,1.021718001415617
4,0.8,0.15,0.2,0.25,0.616606478483114,0.742052798856212,1.1466558205022688
2,1.3,0.25,0.1,0.25,0.6166873900251284,0.3994687757838042,1.3254736426231826
3,1.1,0.15,0.2,0.3,0.6167033574755819,0.7517980016758192,1.4157828399825585
3,0.7,0.05,0.1,0.15,0.6167086398696073,0.6125081503166543,1.1257947082432895
4,1.2,0.25,0.1,0.3,0.6167199316276645,0.7609876722748776,1.0912344872715738
4,0.4,0.2,0.25,0.2,0.6167713059956489,0.5635683005850236,1.1831503202461984
4,0.9,0.25,0.2,0.3,0.6167756211201069,0.6206534901510093,1.1297554983957272
3,1.0,0.05,0.15,0.25,0.6168577268999057,0.6976884037970531,1.2730600630589313
4,0.8,0.2,0.15,0.2,0.6169191557568843,0.7613712467771966,1.051457043787954
3,1.4,0.05,0.1,0.3,0.6169395995572261,0.5963669941814407,1.4795367276344455
2,0.8,0.2,0.2,0.25,0.6169503212291251,0.5339475805345224,1.3578913326929978
2,0.5,0.3,0.2,0.25,0.6170094188864746,0.4289850696072457,1.6435182089036744
2,1.0,0.1,0.2,0.3,0.6171258066204205,0.5554206384322891,1.3126583082869407
4,1.3,0.1,0.05,0.2,0.6171403516180228,0.6662877234325392,1.3205342144126344
3,1.0,0.2,0.1,0.15,0.617161920008585,0.7383559519712264,1.2046853721062694
4,1.4,0.1,0.05,0.25,0.6172451225248959,0.6536959992503732,1.3342288800703936
2,0.9,0.15,0.15,0.2,0.6174611871495392,0.5879087437285702,1.1997886293846922
4,0.9,0.2,0.1,0.15,0.6175163087786079,0.7266827340352883,1.084474325938202
4,0.6,0.15,0.25,0.25,0.6175826016818154,0.6462901271260151,1.069332902279061
4,1.3,0.15,0.1,0.3,0.617741112672372,0.7361842824323998,1.2784573229013891
3,1.1,0.1,0.2,0.3,0.6178595810777412,0.7885246906948672,1.445797732819854
3,1.3,0.3,0.05,0.15,0.6179830169973053,0.6714319962060356,1.285222752237118
4,0.9,0.3,0.2,0.3,0.618042282411402,0.5616751883165167,1.2232889204994317
2,0.5,0.25,0.25,0.3,0.6180869642851687,0.46939484248936714,1.5914479423975663
3,1.3,0.1,0.15,0.3,0.6184003324094588,0.7379115135022363,1.5236068269069065
2,1.0,0.05,0.1,0.15,0.6184312939830671,0.5546510616504824,1.3041569474010886
2,0.4,0.15,0.25,0.2,0.618567068841531,0.5996045480971647,1.3087262215643258
3,1.1,0.1,0.15,0.25,0.6185841383277001,0.7386082223210242,1.3721205907577902
2,1.0,0.1,0.1,0.15,0.6186896217159418,0.5977806780908612,1.2709997556361492
4,0.4,0.2,0.2,0.15,0.6187875648792412,0.6475720098676826,1.2062779738146838
2,0.9,0.2,0.15,0.2,0.6188099048795412,0.5416981177664147,1.2722539841479223
2,0.7,0.25,0.2,0.25,0.6188508151222867,0.4841066482462966,1.4915297521781123
4,0.8,0.3,0.1,0.15,0.6189237375344784,0.7064360558700082,1.2266970675721993
2,1.0,0.15,0.1,0.15,0.6189479494488164,0.5944637999486758,1.2378425638712087
3,0.6,0.05,0.2,0.2,0.6189526399377496,0.7146279710848122,1.0690579542362868
