参考市场数量k,结构价格弹性系数alpha,GDP对数敏感系数gamma1,人口对数敏感系数gamma2,层级溢价强度eta,平均相对误差,中位相对误差,最大相对误差
3,0.4,0.15,0.05,0.25,0.4784578371012016,0.5086497237096784,1.1800897035870273
2,0.7,0.05,0.05,0.25,0.4786311588671555,0.4774371215041254,0.839904768966162
3,0.7,0.2,0.05,0.3,0.47869203210051886,0.4526622497929433,1.095848940144694
2,0.4,0.25,0.1,0.3,0.4788755678541519,0.3326833608846428,1.4688318836087286
2,0.9,0.05,0.05,0.3,0.47889154028223857,0.48710206697459996,0.8332707550192405
2,0.8,0.25,0.05,0.3,0.4790868541466469,0.30376665003857795,1.3401738780226191
2,0.6,0.05,0.1,0.3,0.47937147695228305,0.48547489193031346,0.9265122208605295
2,0.5,0.2,0.1,0.3,0.4794091017290038,0.3640547701157745,1.3211610280578157
4,0.4,0.05,0.1,0.3,0.47951712270731445,0.5187487617479549,0.9659537314405658
2,0.5,0.05,0.05,0.2,0.4796827789448831,0.499300049750365,0.8479083612760021
2,0.4,0.05,0.1,0.25,0.48031545585554625,0.491606606242982,0.9345535666088612
4,0.5,0.15,0.1,0.3,0.48055697887761223,0.4933273223471366,1.100207743021245
3,0.7,0.25,0.05,0.3,0.4808594125677889,0.4171668594814533,1.1902040585846174
4,0.8,0.15,0.05,0.3,0.4809369543164632,0.5621794596135269,0.9535765209544022
2,0.7,0.1,0.05,0.25,0.4812459160885357,0.4867539945886573,0.9628725629877631
4,0.5,0.2,0.05,0.25,0.48140050402761475,0.505908627878607,1.2078815171131239
3,0.4,0.25,0.05,0.25,0.48154313986887626,0.40788810060862385,1.3685571060068469
4,0.6,0.1,0.05,0.25,0.4815554809129574,0.5316820197020014,0.960902240211229
4,0.4,0.15,0.05,0.2,0.48160749940456843,0.5174063800854138,1.1848145931721996
2,0.5,0.1,0.05,0.2,0.48183408340757544,0.4842800116660385,0.97142480130679
2,0.9,0.1,0.05,0.3,0.4818759138585218,0.4375725855331439,0.9557820262320791
3,0.4,0.1,0.1,0.3,0.4818807490821226,0.5332359042141562,1.061727852892239
4,0.7,0.2,0.05,0.3,0.4821598970334995,0.46900940829187293,1.095848940144694
3,0.4,0.2,0.1,0.3,0.48252600492393327,0.451494338353264,1.2532760957955849
2,0.5,0.3,0.05,0.25,0.4825281984027041,0.31864814402672553,1.4952006990781888
3,0.7,0.3,0.05,0.3,0.4830267930350588,0.377781435306285,1.2845591770245397
2,0.6,0.1,0.1,0.3,0.48303023740961926,0.44346564844246184,1.0519552179960812
4,0.5,0.05,0.1,0.3,0.48316534042955284,0.5442222897533369,0.9098413900843635
4,0.9,0.1,0.05,0.3,0.4834080033269085,0.5990270726593439,0.9731956943746629
2,0.4,0.1,0.1,0.25,0.48358857304389397,0.4694439984423028,1.0607164602832353
4,0.8,0.05,0.05,0.3,0.4837641868871016,0.5789762455987307,1.0154901238448517
